Nitrogenio,Fosforo,Potassio,pH_Solo,Umidade_Solo,Temperatura,Precipitacao_mm
1,0,0,5.95,76.54,25.56,10.26
0,1,1,5.86,86.7,23.12,9.34
0,0,0,6.15,76.81,28.05,14.0
1,1,0,4.97,79.68,19.03,6.88
1,0,1,5.32,69.3,27.18,0.4
0,0,0,6.64,31.98,27.2,1.25
0,0,0,6.41,67.95,30.47,0.35
0,0,1,5.76,62.29,18.96,4.3
0,0,0,7.07,76.35,20.75,9.56
0,1,1,4.99,83.84,22.42,6.41
1,0,1,5.52,91.33,28.28,9.35
1,1,0,5.93,81.77,26.68,12.32
1,1,0,5.25,82.98,27.67,6.98
1,1,0,5.73,92.34,18.12,6.43
0,1,0,5.18,88.64,34.02,11.32
1,0,1,4.87,89.3,21.43,12.69
1,0,0,5.75,77.16,28.91,11.98
1,0,1,4.55,77.64,18.4,11.54
1,0,0,5.81,89.73,22.06,10.56
1,1,1,5.53,76.12,30.11,8.23
0,0,1,5.18,44.74,32.31,1.96
0,1,1,5.05,54.07,18.65,2.62
1,0,0,5.71,77.09,27.71,12.64
0,1,1,5.59,89.62,25.8,6.8
1,1,0,5.64,77.01,24.82,2.5
0,0,0,5.58,88.86,29.72,9.14
1,0,1,5.29,53.82,25.69,4.94
0,0,1,5.54,92.1,26.03,7.78
1,1,1,5.22,89.39,30.98,5.43
0,0,0,7.44,84.37,23.58,10.1
1,0,0,5.5,84.3,33.65,12.98
1,0,1,4.62,58.59,26.2,4.05
0,1,0,5.76,82.09,26.08,13.4
0,1,1,4.88,82.8,25.05,12.31
0,0,1,5.67,82.0,27.72,13.81
1,1,0,5.43,81.69,23.72,10.25
0,0,1,5.19,48.7,26.91,0.23
1,0,0,5.67,89.82,30.96,8.52
0,0,0,7.02,76.91,34.83,11.68
0,0,1,4.96,84.35,32.7,12.01
0,1,0,4.92,35.22,24.47,4.8
1,0,0,5.61,82.11,21.56,0.38
1,1,0,4.52,82.76,23.15,12.75
1,0,1,5.15,82.98,32.6,10.16
1,1,1,5.92,88.99,33.76,5.14
0,1,1,5.57,89.13,33.05,14.03
1,0,1,5.16,82.23,21.95,11.83
1,1,0,5.64,94.72,24.3,12.62
0,1,1,5.27,71.68,27.73,3.48
1,0,0,5.62,77.31,22.74,12.35
0,0,0,6.23,82.69,21.07,9.73
1,0,0,5.67,51.94,30.41,2.63
0,1,0,5.0,48.22,21.39,2.65
1,0,1,5.94,30.54,30.79,4.86
0,1,0,4.54,93.3,28.05,8.23
1,0,0,5.92,80.83,33.37,9.21
0,0,1,5.83,85.07,34.28,8.38
0,0,1,4.78,91.84,29.43,13.54
0,0,1,5.6,84.11,28.26,8.91
0,0,0,6.61,39.18,29.86,4.42
0,1,1,5.51,79.48,21.1,8.08
1,0,0,5.22,45.81,30.52,4.92
1,1,1,4.89,83.2,21.94,2.64
0,1,0,5.45,94.28,33.64,5.04
1,0,1,4.97,53.54,21.24,3.41
0,1,0,4.85,73.88,24.41,0.79
0,0,1,5.77,92.71,22.22,14.84
1,0,1,5.42,84.11,32.35,10.34
0,0,1,4.53,78.07,25.52,14.24
0,1,1,4.93,88.79,32.26,6.0
1,0,1,5.36,86.6,21.53,7.88
0,1,1,4.95,64.29,21.11,4.32
0,1,0,5.66,83.93,27.39,11.58
0,1,0,5.09,82.11,27.84,12.0
1,1,1,5.38,90.86,31.19,14.03
1,0,1,4.97,76.52,22.74,13.63
1,1,1,4.55,93.33,18.89,6.02
0,0,0,5.73,30.58,27.56,2.66
0,0,0,6.67,83.33,20.99,8.53
1,1,1,5.8,36.24,34.37,4.11
1,1,1,5.22,94.85,18.75,8.43
1,1,1,5.65,77.17,29.2,7.63
0,1,1,5.72,78.85,23.16,14.14
1,0,1,4.71,88.51,20.15,8.72
0,0,1,5.76,30.66,22.88,4.69
1,0,1,4.62,80.55,20.23,5.7
1,1,1,4.87,51.11,30.11,4.88
1,0,1,5.71,94.2,34.31,7.07
1,1,1,5.05,85.32,30.86,7.93
0,1,1,5.13,85.74,20.4,7.99
0,1,0,4.56,59.08,22.12,1.07
1,0,1,5.07,50.58,23.09,0.76
0,0,1,5.12,78.48,27.7,7.09
1,1,0,4.63,93.59,22.66,12.45
1,0,1,5.25,90.5,19.49,10.38
1,1,1,4.93,65.79,18.19,1.92
1,1,0,5.87,42.99,33.77,4.25
1,0,1,5.84,84.24,19.85,14.29
0,1,0,5.32,87.96,25.4,12.17
0,1,0,4.9,91.46,28.06,14.68
0,0,1,4.75,86.81,34.44,11.9
0,1,0,4.68,86.26,29.58,0.5
0,1,0,5.16,92.25,32.41,14.6
1,0,1,5.23,83.38,20.38,5.22
1,1,1,4.83,54.07,32.71,1.01
1,0,1,4.82,76.4,19.77,6.8
0,1,1,5.49,77.97,28.28,14.21
1,1,0,5.93,79.19,23.74,8.18
0,0,1,5.27,89.6,33.0,1.06
1,0,0,5.33,85.64,30.54,2.72
0,0,0,6.88,82.02,24.42,6.14
1,0,1,5.92,94.17,23.22,12.44
1,0,0,5.36,79.15,28.8,5.04
1,1,1,5.35,93.76,24.42,11.84
1,0,0,5.98,89.83,24.79,10.16
1,0,1,5.62,76.41,29.16,7.41
1,0,1,4.85,94.57,26.22,5.55
0,0,0,6.76,81.61,31.26,1.51
1,1,0,5.67,79.12,31.66,8.15
1,1,0,4.62,49.2,21.28,3.42
0,0,0,5.73,85.47,32.54,8.58
0,0,1,4.53,78.8,18.75,6.06
1,0,1,5.44,85.91,32.08,9.18
0,0,0,7.36,89.61,19.78,13.64
0,1,1,4.73,83.55,31.55,5.91
0,1,0,5.03,45.5,31.1,2.96
1,1,0,5.49,82.75,23.93,10.25
0,0,1,4.83,78.06,29.43,11.28
1,0,0,5.27,59.17,21.43,4.34
0,0,1,5.17,78.13,26.02,14.88
0,0,1,5.93,85.94,28.66,3.1
1,0,1,4.54,30.81,20.17,3.36
1,0,0,4.97,30.24,29.96,1.72
0,0,1,5.88,93.76,29.74,9.58
1,0,1,5.29,87.04,20.71,0.91
0,1,0,5.65,42.95,23.33,0.1
0,0,0,6.83,86.49,22.15,14.36
0,1,1,5.42,87.34,30.04,12.81
0,1,1,4.62,82.1,27.31,9.03
1,0,1,5.73,87.82,18.34,10.99
1,1,1,5.84,80.35,19.46,7.6
1,1,1,5.23,59.11,30.65,0.95
1,0,1,4.74,84.46,19.98,11.98
0,0,0,6.24,94.99,33.79,13.71
1,1,1,4.79,79.47,19.78,11.17
1,0,0,5.86,89.93,19.75,12.95
1,0,1,4.75,67.02,30.75,4.6
1,0,1,5.05,89.75,25.55,12.92
1,1,0,5.13,81.3,18.95,14.99
0,1,0,4.51,75.95,26.1,10.47
0,0,0,6.85,85.78,22.58,4.99
1,1,0,5.91,90.72,22.19,5.46
0,0,1,5.0,87.9,24.86,11.23
1,0,0,4.56,34.23,32.13,2.86
0,1,0,4.81,82.1,20.23,3.73
1,1,0,5.6,91.39,33.83,10.97
1,1,1,4.84,77.42,29.43,9.36
1,0,0,5.46,34.91,25.27,1.52
0,1,1,5.03,82.48,31.03,4.54
0,1,0,4.57,82.07,34.65,13.75
1,1,1,4.55,62.25,28.43,4.26
0,1,0,4.78,80.91,18.25,14.13
1,0,0,4.51,78.48,33.44,5.74
0,1,1,5.17,82.44,18.59,14.01
0,1,1,5.44,78.49,19.86,11.9
0,0,1,5.62,30.49,18.64,2.28
1,1,0,5.39,83.45,22.31,6.97
0,0,1,5.98,45.34,20.31,1.75
0,1,0,5.51,77.73,32.0,6.05
1,0,0,4.96,45.26,20.79,1.04
0,1,0,5.16,66.18,24.88,1.88
1,0,1,5.23,45.17,23.19,4.92
0,0,0,6.7,90.39,18.14,8.47
1,1,0,5.42,70.93,19.32,4.96
1,0,1,5.74,75.3,20.17,6.33
1,0,0,5.36,87.02,23.48,11.15
1,0,1,5.87,59.19,32.21,0.66
0,1,0,4.96,82.24,20.17,2.05
1,1,0,5.35,69.52,22.13,4.7
1,0,0,5.5,81.17,22.86,8.31
1,1,1,5.17,91.96,24.64,10.54
0,0,0,5.53,88.4,22.77,14.03
1,0,1,5.73,58.97,29.93,1.04
0,1,0,5.18,62.25,28.98,1.01
0,0,0,6.31,67.8,31.42,4.51
0,0,0,7.13,93.0,25.5,9.6
0,0,1,5.82,76.33,26.32,6.63
1,1,0,5.15,91.64,19.47,14.43
1,1,1,5.82,86.63,30.81,9.46
1,0,0,5.09,75.26,31.58,12.41
0,0,0,6.18,75.29,23.2,6.79
0,0,0,6.62,80.84,23.98,11.29
0,1,1,5.73,75.76,27.49,9.52
1,1,1,5.41,37.98,28.19,1.7
0,0,0,6.99,36.81,29.38,0.95
1,1,1,5.4,89.09,19.52,11.76
1,0,1,4.59,80.76,28.37,8.24
1,0,0,4.77,86.62,19.21,11.47
0,0,0,7.31,90.63,29.13,10.12
1,1,1,5.03,50.86,33.57,2.91
1,1,1,6.0,77.44,34.71,8.65
0,1,1,5.39,86.0,34.13,8.06
0,0,1,5.04,73.82,29.75,4.05
1,0,0,5.03,76.0,22.86,9.59
0,1,0,5.11,90.93,26.27,5.01
1,1,0,5.86,81.61,29.16,10.34
1,1,0,5.05,84.17,25.85,7.9
1,0,1,5.52,88.6,33.33,10.92
0,0,1,5.81,85.14,29.47,6.99
1,1,1,6.0,90.99,20.55,10.69
1,1,0,5.74,92.92,21.11,14.48
0,1,0,5.08,80.13,23.06,11.2
0,1,1,5.59,47.0,32.28,0.31
1,0,1,4.97,75.26,28.36,5.86
1,1,0,5.47,86.62,29.82,6.93
1,1,0,5.43,82.88,30.73,10.42
1,0,1,5.55,81.41,23.48,9.1
1,1,1,5.5,88.87,28.59,2.17
1,1,0,6.0,90.73,20.29,14.28
1,1,1,4.75,90.43,21.01,9.43
0,0,0,6.78,55.63,22.69,2.43
0,1,0,4.57,89.81,29.73,4.83
0,1,1,4.84,75.23,27.14,6.55
0,0,1,4.6,77.86,30.81,9.74
1,1,0,5.22,77.88,23.63,0.33
1,1,0,5.29,35.61,20.13,1.95
1,0,0,4.73,77.08,25.01,1.21
1,0,0,5.86,94.01,27.06,6.69
0,1,1,5.56,86.47,27.87,12.01
1,1,1,4.85,89.35,28.75,8.55
0,0,1,5.65,79.44,27.74,4.35
0,1,1,5.71,93.72,26.36,5.18
0,0,1,5.25,93.99,21.13,10.57
0,1,1,4.56,72.02,34.62,4.42
0,1,1,4.59,92.16,18.78,9.97
1,0,1,5.9,65.85,34.78,3.89
1,1,1,5.67,63.1,33.14,1.8
0,1,0,5.75,92.72,28.97,10.25
1,1,0,4.97,76.44,29.41,14.3
1,0,1,5.64,80.73,28.15,7.29
1,1,0,5.16,83.98,29.05,11.24
0,1,1,5.79,76.12,25.19,10.73
0,0,0,6.84,64.49,21.83,1.95
1,0,1,5.0,48.37,22.3,0.53
0,0,0,6.75,82.02,29.72,12.88
0,1,1,5.42,90.34,31.5,12.78
0,1,0,5.58,53.33,25.02,3.91
0,0,0,6.66,86.75,25.44,1.01
0,1,1,5.86,87.51,25.31,6.6
1,0,0,5.63,41.98,31.74,3.91
1,0,1,5.61,41.89,25.49,4.61
1,0,0,5.02,78.64,34.95,6.65
0,0,0,6.02,30.34,24.91,2.91
1,0,0,4.61,90.64,30.98,9.17
1,1,1,5.54,82.08,19.38,7.56
1,0,0,5.06,55.57,22.95,2.72
1,1,0,5.5,89.86,34.99,11.03
1,1,0,5.53,86.81,30.11,5.16
0,0,1,5.21,78.42,30.14,8.34
1,0,1,4.91,90.14,18.33,10.26
1,0,1,4.77,61.32,22.07,1.83
1,0,1,5.23,66.34,23.69,2.67
1,1,0,5.28,79.16,27.27,13.39
0,0,1,4.59,92.68,28.04,5.42
1,1,0,5.26,84.23,22.1,6.98
0,0,1,5.23,78.26,18.83,9.51
0,1,1,5.25,80.61,30.3,5.44
0,1,0,5.41,77.69,30.51,8.42
0,1,0,4.85,87.37,32.29,10.44
1,1,1,5.37,88.9,33.38,14.76
1,1,1,5.24,85.0,28.38,12.9
1,0,0,5.59,55.57,29.07,1.84
1,0,1,5.85,87.86,18.31,8.45
1,0,0,5.09,86.94,32.26,6.05
1,1,0,5.04,77.55,18.37,9.7
1,0,0,5.72,66.24,20.1,0.33
0,0,0,7.08,62.7,25.82,1.22
0,0,1,5.96,92.52,27.23,6.48
0,0,1,4.56,84.77,18.3,13.37
1,0,1,4.93,89.93,24.73,14.86
0,1,1,5.33,83.67,18.8,4.48
0,1,0,5.76,91.76,22.76,11.75
1,1,1,5.59,87.38,30.33,13.03
1,0,1,5.03,53.22,32.27,4.77
0,0,1,5.56,67.46,18.13,4.5
1,0,0,5.87,89.68,23.59,6.9
1,1,0,5.62,82.57,19.04,6.55
1,0,1,5.28,84.0,25.19,1.9
0,1,0,5.61,89.36,28.48,13.86
0,0,0,7.06,42.63,26.81,3.81
0,0,1,5.33,54.37,24.17,2.56
0,1,1,5.82,78.37,32.1,6.59
1,0,0,5.46,86.75,26.9,14.6
0,1,1,5.16,38.53,23.42,2.68
0,0,0,7.35,59.4,32.68,5.0
0,0,0,6.17,82.89,22.5,1.61
0,1,1,4.55,75.64,20.7,12.05
0,0,0,6.17,62.62,32.34,2.62
1,0,1,5.29,92.64,18.61,8.47
0,0,1,5.97,47.58,27.07,0.19
1,1,0,5.08,86.11,33.96,7.18
1,1,0,5.15,86.0,20.67,6.94
0,0,0,5.69,84.9,24.18,14.59
0,0,1,4.88,80.59,26.08,14.98
0,1,0,4.85,60.91,28.22,2.27
1,1,0,5.43,85.27,23.15,15.0
1,0,0,5.86,93.8,24.05,14.04
0,1,1,5.51,81.29,19.37,10.06
1,0,1,4.59,93.65,28.69,7.56
1,1,0,5.72,60.61,18.31,3.86
0,1,0,4.96,93.9,31.89,6.62
1,0,1,5.83,46.2,25.66,2.0
0,0,1,5.47,82.49,29.04,8.74
1,1,1,5.14,75.72,20.6,4.71
1,1,0,5.31,93.72,27.27,12.77
0,0,0,7.13,89.89,27.67,5.63
0,1,0,4.55,86.67,22.93,11.59
0,0,0,6.49,69.47,30.66,0.86
1,1,1,5.6,93.94,21.47,12.02
0,0,1,5.07,43.59,23.17,2.68
0,1,0,5.13,85.65,20.68,10.69
1,0,1,5.88,35.1,22.47,1.92
0,0,1,5.13,75.78,18.66,7.18
0,0,1,5.14,92.11,24.56,6.18
1,0,0,4.84,57.83,31.87,3.69
0,1,0,5.72,89.82,20.1,14.84
1,0,0,4.61,82.89,25.96,9.94
0,1,1,5.45,89.61,29.63,12.51
0,1,1,6.0,84.37,25.6,12.19
1,1,0,5.8,32.04,27.31,0.39
0,1,0,4.59,80.77,32.19,7.74
0,0,0,6.22,92.74,29.54,11.62
0,1,0,5.68,75.93,30.04,9.18
1,1,1,5.26,63.43,32.12,1.8
1,1,0,5.17,49.73,29.82,0.96
1,1,0,4.95,52.68,24.36,3.74
0,1,1,4.83,43.27,32.6,0.64
1,1,1,5.6,89.02,34.72,7.96
0,0,1,5.58,83.64,28.64,3.14
1,0,0,5.19,56.72,27.02,2.07
1,0,1,4.87,76.24,25.5,4.1
1,1,0,4.9,85.97,23.47,11.71
1,1,0,4.64,85.71,18.83,5.18
1,0,1,5.26,83.09,26.19,1.46
1,0,1,5.44,78.17,33.12,8.37
0,1,1,4.52,77.64,26.67,10.51
1,0,1,5.87,82.66,20.75,6.9
1,1,1,5.54,63.21,22.41,4.38
0,1,1,4.75,88.06,26.49,8.19
1,1,0,5.42,77.07,34.48,13.38
1,0,0,5.87,92.56,21.16,9.61
1,0,1,4.58,40.66,19.03,1.62
0,1,1,4.94,78.26,21.01,10.63
1,0,1,5.35,89.5,27.82,13.62
1,1,1,4.79,62.38,22.5,4.46
0,0,1,5.12,94.86,20.64,14.09
1,1,1,5.24,76.8,34.77,13.96
0,1,1,5.69,70.09,28.1,2.0
1,0,1,4.74,45.82,20.61,0.28
0,1,0,5.01,43.63,26.83,4.28
1,1,0,5.04,48.84,25.66,4.75
1,1,0,5.56,83.0,25.04,8.03
1,1,1,4.84,51.47,25.82,1.88
1,1,1,4.66,94.73,20.94,14.66
0,0,1,4.54,75.84,25.83,14.56
1,0,0,5.46,89.89,24.38,8.1
1,0,1,5.42,34.96,30.54,0.19
1,1,1,4.96,75.46,31.09,11.95
1,0,1,5.8,51.84,30.41,3.42
