Temperatura,Precipitacao,pH,N,P,K,Umidade_Solo
28.89,20.86,7.42,0,1,1,92.63
29.71,21.06,6.45,1,1,1,88.2
24.95,7.26,7.18,0,1,1,61.8
18.32,19.18,6.69,0,0,0,97.7
16.96,11.4,7.8,1,0,0,74.32
24.46,19.77,7.41,1,1,0,93.82
26.94,11.86,7.54,0,1,1,68.09
26.29,23.2,5.19,1,1,1,95.76
38.21,2.79,7.29,0,0,0,35.75
23.31,17.87,6.92,0,0,0,89.71
25.44,14.23,5.42,1,0,1,72.89
39.6,19.7,6.0,0,1,1,78.49
23.66,12.48,7.92,0,1,0,68.83
18.66,6.25,6.33,1,0,1,65.58
25.63,10.19,6.17,0,0,0,66.2
31.42,0.49,7.54,1,0,0,30.33
22.68,1.2,6.39,1,0,0,47.98
36.4,13.43,7.38,0,0,1,62.36
15.65,7.07,6.27,0,1,1,74.7
36.73,21.48,5.95,1,0,1,81.16
36.53,16.23,6.69,1,0,0,72.25
16.04,9.13,5.83,1,0,1,75.39
15.23,24.23,6.07,1,1,0,100.0
32.64,13.39,6.59,0,0,1,66.33
22.6,5.48,6.63,1,1,0,58.93
26.46,21.53,7.05,0,0,0,94.64
33.59,16.8,7.94,1,0,1,69.47
34.78,20.7,6.73,0,0,0,82.04
22.6,12.64,5.98,0,0,0,75.96
35.44,7.5,6.27,0,0,1,52.76
27.79,11.82,7.84,0,0,0,62.44
30.78,10.25,7.96,0,0,1,57.27
23.24,1.55,5.22,0,1,1,46.11
15.81,5.23,5.19,0,0,1,64.32
17.08,2.82,7.97,1,1,1,56.41
35.6,15.59,5.68,0,0,0,69.31
31.88,17.08,6.74,1,0,0,78.42
25.77,15.25,5.02,1,0,1,78.35
25.38,0.1,6.03,0,1,0,42.69
17.11,12.28,5.43,1,0,1,80.03
33.89,0.45,7.34,1,0,1,36.97
36.79,8.23,7.09,0,1,0,48.64
34.66,13.97,7.43,1,0,1,67.92
17.04,12.28,5.37,0,1,0,78.81
34.7,11.44,7.21,0,0,0,58.63
37.8,6.04,6.43,0,1,1,41.55
37.51,20.15,5.55,0,0,1,78.05
20.55,7.28,5.72,1,0,1,65.82
19.5,14.9,5.84,0,0,0,90.25
20.42,20.39,5.08,0,1,0,96.12
25.75,3.42,6.32,1,1,1,50.51
23.45,21.77,5.4,0,0,1,95.0
15.62,23.25,5.61,0,0,1,100.0
24.96,20.19,6.69,0,0,0,94.55
19.59,7.68,5.04,1,0,0,64.04
32.0,7.07,6.5,1,0,1,54.32
20.62,6.76,5.02,1,0,0,63.29
16.78,20.35,7.59,0,1,0,99.28
29.51,13.46,5.53,0,0,0,70.5
28.78,5.01,7.74,1,0,0,47.68
26.56,16.17,6.96,1,1,0,82.85
27.76,11.12,5.68,0,0,1,69.8
19.4,24.41,7.33,1,0,1,100.0
33.53,17.81,6.34,0,0,1,78.53
39.1,12.36,6.67,0,0,1,57.88
31.85,7.88,5.49,1,0,0,50.02
20.9,9.39,5.46,0,0,1,68.28
28.72,22.51,6.56,1,1,0,94.37
21.2,5.55,7.6,1,1,1,59.53
32.56,24.17,6.71,0,0,0,92.61
25.18,2.06,6.07,1,1,1,51.49
36.78,2.29,6.31,1,1,1,32.88
28.54,2.17,5.74,0,1,0,42.29
34.65,13.05,7.04,0,1,0,65.07
31.42,2.54,5.12,0,0,0,38.7
19.3,0.39,5.78,0,1,0,52.94
24.05,8.0,5.35,0,0,1,59.09
37.17,7.94,5.23,1,0,1,41.92
29.77,5.61,7.88,1,0,1,47.81
33.75,8.95,7.12,0,0,1,56.03
32.07,14.5,7.77,0,0,0,65.64
20.65,21.42,6.76,0,0,0,100.0
36.63,18.54,7.19,1,1,1,74.04
15.59,13.8,6.68,0,0,0,87.16
38.9,3.14,5.48,1,1,1,31.65
32.24,4.65,7.26,1,1,1,46.87
34.2,13.97,5.97,0,1,0,67.41
24.16,4.0,5.02,1,0,0,48.7
16.32,2.4,7.86,1,0,1,57.52
29.72,23.85,7.08,1,1,1,100.0
39.87,9.8,7.28,0,1,0,51.15
17.05,22.93,5.65,0,1,1,100.0
32.58,2.04,5.2,0,1,0,34.84
21.8,24.21,7.86,1,0,1,100.0
31.04,24.47,5.94,1,0,0,99.96
36.24,4.05,5.14,1,1,1,36.3
30.46,3.51,6.09,0,1,1,48.91
37.82,0.96,5.95,1,1,1,30.48
18.09,5.0,5.55,1,0,0,65.63
38.21,5.58,5.16,1,0,1,37.93
23.66,6.45,6.27,1,1,0,61.78
30.55,5.35,6.03,1,1,1,48.83
38.44,3.91,6.81,1,0,1,36.28
26.8,5.22,5.01,0,0,1,48.79
15.95,14.67,5.19,0,0,1,89.38
18.29,0.73,7.64,0,1,0,50.68
17.87,16.66,6.51,0,1,1,92.28
38.03,17.63,5.13,0,1,0,69.0
37.5,6.73,7.4,0,0,0,48.43
19.66,21.07,7.56,0,0,1,100.0
18.76,14.99,7.03,0,0,0,87.87
18.45,21.22,6.11,0,1,1,100.0
34.61,4.33,5.88,1,0,0,45.16
20.49,20.52,6.5,1,1,1,97.93
27.86,4.09,6.91,0,0,0,48.04
15.5,2.98,5.24,0,0,1,58.62
38.14,22.54,5.41,0,0,1,77.65
34.55,8.84,7.31,0,1,1,57.44
36.46,24.96,6.79,0,0,0,90.67
22.33,0.08,6.06,0,0,0,45.35
39.39,2.18,5.71,1,1,0,31.14
22.08,12.09,5.31,1,0,0,74.65
28.22,24.9,7.0,1,1,1,100.0
35.59,17.3,5.04,1,0,1,67.33
38.01,3.23,5.36,0,0,0,30.34
30.13,15.13,7.82,1,0,0,71.04
16.02,14.67,5.41,1,0,1,87.39
26.82,13.76,5.08,1,0,0,74.11
32.01,3.24,6.56,0,0,1,42.81
34.72,4.42,5.55,0,0,0,42.36
15.44,3.62,5.7,1,0,1,66.35
20.05,24.64,6.73,1,0,1,100.0
39.62,4.27,5.34,0,0,0,31.89
19.69,7.88,5.67,1,0,1,70.14
22.25,9.93,6.8,1,1,1,74.8
26.74,4.2,6.54,1,0,0,52.33
30.29,17.79,7.46,0,1,0,82.26
18.78,20.84,6.49,0,0,1,100.0
16.47,14.93,5.36,1,0,0,89.25
17.35,0.22,7.65,0,0,1,50.94
32.45,10.05,6.47,0,0,0,60.28
33.06,23.11,6.14,0,0,0,90.38
33.46,6.58,6.29,1,0,0,48.23
18.39,9.61,5.95,0,0,0,74.67
29.98,2.1,7.28,0,1,1,44.84
38.67,4.42,6.24,0,1,1,41.16
21.58,19.21,5.38,1,0,1,93.91
35.47,2.94,5.66,0,0,0,40.85
15.76,5.39,6.47,0,0,0,71.46
19.62,12.91,6.18,1,1,0,82.22
20.93,8.94,7.21,1,1,1,73.0
25.35,20.12,7.13,1,1,1,94.24
19.3,5.2,5.7,1,0,1,66.44
17.29,21.14,7.07,1,0,0,100.0
28.99,24.33,6.28,1,1,0,100.0
31.39,7.7,7.12,0,1,1,53.36
22.98,20.23,5.66,0,1,0,97.11
30.47,18.17,7.04,0,0,0,84.53
28.78,3.07,7.73,0,1,1,39.7
20.21,17.0,5.43,1,0,1,88.42
29.32,9.4,6.58,1,0,0,63.71
36.45,0.66,5.74,0,0,1,33.22
32.56,15.29,8.0,1,0,0,70.73
21.63,22.38,5.02,0,0,1,98.9
24.23,4.32,6.87,1,0,1,57.83
29.85,17.52,6.46,1,1,0,79.09
36.02,24.49,6.55,0,0,1,90.23
21.49,6.63,5.05,1,1,1,57.51
23.75,2.23,6.22,1,1,0,48.16
19.0,6.9,7.15,1,1,0,67.38
22.7,3.49,6.91,1,1,0,55.94
17.98,16.49,6.11,0,0,0,91.73
20.97,12.79,6.74,0,1,0,80.95
16.15,16.38,7.1,1,1,1,94.16
21.7,21.34,5.46,1,1,1,94.01
18.89,21.34,7.19,0,1,0,100.0
15.92,9.32,6.63,1,0,0,75.56
36.03,14.56,5.48,1,0,0,61.96
25.89,0.69,5.91,1,1,1,46.93
32.4,22.17,7.59,1,0,1,82.96
22.63,1.93,7.35,1,1,0,52.68
22.01,8.64,7.81,0,0,0,61.92
35.86,9.1,6.6,1,1,1,56.26
20.68,12.28,6.51,1,1,0,81.91
23.88,20.04,5.53,0,1,1,93.55
34.2,5.94,6.63,0,0,1,45.72
22.48,14.12,6.96,0,0,1,79.81
23.65,1.39,6.04,1,1,1,51.04
38.4,7.26,6.82,0,0,1,44.52
22.26,18.65,5.27,1,1,0,88.28
32.21,15.15,7.08,0,1,0,70.65
32.4,21.24,7.84,0,1,1,83.63
28.06,9.17,7.92,1,0,0,55.77
15.85,14.5,7.11,0,1,1,88.94
24.4,6.09,6.95,1,0,1,56.95
25.1,12.6,6.92,0,1,0,73.13
39.11,20.37,5.56,1,1,0,75.45
17.07,20.57,6.92,0,0,1,100.0
16.04,19.55,6.99,1,0,0,100.0
36.2,20.03,7.28,1,0,0,78.47
27.55,1.64,6.89,0,0,0,44.04
34.28,2.22,6.04,0,0,0,38.62
19.39,24.88,6.99,0,1,0,100.0
28.96,8.82,5.35,0,0,1,55.64
23.32,2.78,5.49,0,0,1,48.34
32.46,15.25,5.8,1,1,1,72.06
22.51,17.7,7.66,1,0,0,88.18
17.02,23.88,6.28,1,1,0,100.0
28.13,1.37,6.19,0,1,1,42.38
15.16,22.91,7.13,1,1,0,100.0
37.94,12.31,7.23,1,1,0,56.76
31.81,1.93,7.42,0,1,0,39.72
39.76,2.48,5.72,1,0,1,35.35
29.65,15.12,5.16,1,1,0,69.44
17.67,17.31,7.59,0,0,0,91.69
15.83,18.6,6.23,0,0,0,100.0
23.84,5.06,7.95,1,0,1,54.2
24.21,13.38,6.64,1,1,0,75.43
30.02,9.04,7.95,0,1,0,57.87
31.37,6.89,5.54,1,1,0,54.57
21.45,18.74,7.59,0,1,0,89.57
31.66,20.87,7.06,0,0,0,88.45
31.17,5.55,7.94,1,0,0,45.1
32.68,4.72,7.42,1,0,0,43.71
36.88,11.83,6.6,1,1,1,60.59
24.13,7.6,6.69,0,1,1,62.73
26.6,11.71,7.47,0,1,0,70.0
35.79,6.3,7.09,1,1,0,47.31
32.9,22.29,5.16,0,1,0,87.88
30.43,9.81,7.52,1,0,1,56.0
21.89,10.09,6.33,0,0,0,70.33
16.16,24.13,6.07,1,1,0,100.0
16.88,9.27,6.73,0,1,1,78.15
35.1,6.62,6.46,0,1,0,50.65
24.27,6.96,5.33,0,0,0,57.1
39.34,9.05,7.17,0,0,1,48.56
21.4,21.56,6.96,0,1,1,100.0
29.05,0.17,7.02,1,1,1,42.09
21.56,15.17,6.75,1,0,0,87.05
29.81,20.51,6.8,1,0,0,87.93
38.49,19.24,7.15,1,0,1,73.97
18.54,22.95,7.35,0,1,1,100.0
20.4,7.91,5.72,0,1,1,70.86
34.11,13.59,5.56,1,0,1,69.2
30.59,14.12,6.69,0,0,0,71.67
34.03,10.18,5.32,1,1,1,54.63
34.68,5.77,6.23,0,1,1,49.43
27.27,3.17,5.05,1,0,1,44.91
36.22,5.96,5.67,1,1,1,45.03
23.98,17.35,5.15,0,1,0,84.4
17.33,10.67,7.46,1,0,0,81.54
31.38,0.08,7.58,0,1,0,32.47
31.38,17.78,7.59,0,1,0,73.02
31.63,17.09,5.41,0,0,1,72.33
15.66,3.02,5.63,1,1,0,64.2
36.36,1.21,5.06,1,0,1,27.4
24.45,19.94,5.89,0,0,0,94.59
16.23,11.36,7.99,0,0,0,78.84
35.45,3.29,6.7,1,1,1,41.81
31.69,18.06,7.44,1,1,0,79.86
35.33,3.92,5.24,0,0,0,33.69
35.3,15.98,6.86,1,1,0,71.51
28.05,16.81,6.84,0,0,1,79.92
38.98,7.15,5.64,0,0,1,47.89
21.58,15.74,6.62,1,1,1,88.64
33.62,7.23,7.1,0,1,1,50.67
28.93,2.34,7.51,0,0,0,40.48
18.02,20.07,6.32,0,0,0,100.0
15.43,14.92,7.77,1,0,0,86.57
17.17,0.96,6.17,1,1,1,53.6
18.74,23.37,6.66,0,0,1,100.0
27.38,17.57,5.13,0,1,1,81.95
31.68,23.38,6.19,1,0,0,95.21
34.14,21.95,7.13,1,1,0,87.81
23.75,2.64,6.29,0,1,0,54.1
18.2,19.87,7.0,0,1,0,100.0
16.0,23.71,5.21,1,0,1,100.0
39.28,13.83,6.01,1,1,0,61.73
21.15,15.87,7.68,0,0,0,82.55
31.21,20.84,5.96,1,0,1,86.73
30.37,4.78,5.68,0,0,0,50.94
15.69,15.9,6.87,1,0,1,97.61
34.33,19.66,5.01,1,1,1,77.2
23.0,7.91,7.73,1,0,0,61.41
27.13,3.51,6.26,1,1,0,52.92
28.43,21.12,7.93,1,0,0,86.12
39.96,17.63,6.35,0,1,0,70.59
27.79,13.21,5.11,0,1,0,67.88
33.81,9.16,7.56,0,0,1,53.78
25.19,10.95,5.86,1,1,0,69.67
34.79,13.18,6.75,0,1,0,63.3
15.8,3.04,7.8,0,1,0,58.32
24.47,20.13,7.59,1,1,0,91.37
31.23,15.49,6.24,1,1,0,77.18
19.17,6.44,5.23,1,1,0,59.77
32.28,16.48,5.31,1,0,1,71.1
22.83,20.11,5.1,1,0,0,93.91
21.79,4.07,6.1,1,0,0,55.24
35.89,1.14,6.55,1,1,0,35.69
36.74,10.21,6.88,1,0,1,53.02
17.97,1.01,7.58,0,0,1,50.12
28.38,8.31,6.6,0,1,0,60.91
30.75,19.38,6.66,0,0,1,87.93
23.79,12.35,7.26,0,0,1,78.14
34.49,1.23,7.98,1,1,1,29.39
16.79,14.52,7.79,1,1,1,85.7
32.37,15.88,7.93,1,1,0,72.01
31.25,11.96,6.46,0,1,0,64.54
39.59,17.45,5.18,0,1,1,67.76
27.12,3.91,7.6,1,1,0,47.34
31.55,3.77,7.53,1,0,1,42.42
24.63,24.86,5.92,1,1,0,100.0
15.34,1.75,6.72,0,1,0,59.25
34.65,21.96,5.37,1,1,0,83.02
38.33,3.42,6.24,0,0,0,39.22
33.32,19.15,7.77,1,0,1,79.67
22.44,13.52,6.16,1,1,0,79.8
15.71,18.3,7.09,1,1,1,100.0
23.96,17.66,6.06,1,0,1,91.98
20.67,18.76,7.6,0,1,0,91.29
35.16,12.72,6.47,1,1,1,60.93
21.82,7.71,5.27,1,1,1,60.7
17.33,9.68,5.92,1,0,1,77.97
29.0,22.95,7.56,1,0,1,89.47
35.73,20.1,5.84,0,1,1,83.28
17.3,14.63,6.32,1,1,0,87.51
38.41,10.1,7.44,1,1,0,54.27
38.21,3.51,6.64,1,1,1,35.17
19.41,13.54,5.56,0,0,0,82.82
19.71,15.66,6.89,1,1,0,88.17
22.33,15.95,7.19,0,1,0,86.69
16.1,7.9,7.35,0,0,0,72.98
20.29,1.16,6.47,1,0,1,50.19
23.54,21.96,7.67,0,1,0,96.22
22.13,12.35,8.0,0,0,0,75.39
19.51,7.78,7.14,1,1,0,71.94
32.38,11.38,6.65,1,1,0,63.43
15.97,19.44,7.7,1,0,1,99.56
36.55,16.96,6.18,1,0,1,73.13
18.77,24.52,7.27,1,1,0,100.0
35.56,7.21,7.96,1,1,0,41.51
39.22,0.21,5.01,0,0,1,20.98
35.33,9.43,6.1,1,1,1,52.74
22.95,4.54,7.05,1,1,0,56.81
22.18,24.4,5.12,0,0,1,100.0
26.83,6.57,7.32,1,0,1,61.16
23.74,13.75,5.96,1,0,1,77.96
28.76,21.66,5.6,0,0,0,92.83
38.1,15.81,6.23,0,0,1,68.99
28.61,6.99,6.39,0,1,1,54.3
36.43,3.19,7.61,0,0,1,32.9
25.89,12.58,5.02,1,1,0,67.58
28.21,14.7,5.07,1,0,1,73.93
20.92,12.45,6.73,1,1,1,80.67
35.62,10.6,7.37,0,1,1,56.59
29.59,20.53,5.24,0,0,1,83.1
24.85,4.63,5.55,0,0,0,58.23
15.25,9.57,5.7,1,1,0,82.5
35.4,17.83,7.81,1,1,1,71.79
24.39,19.69,6.97,1,0,0,92.06
26.83,24.6,6.04,0,0,1,100.0
23.86,17.51,7.9,0,0,0,82.51
34.91,14.69,6.27,1,0,1,66.05
26.86,22.35,5.78,1,0,0,98.27
39.81,12.31,7.35,1,0,1,56.95
26.7,16.73,5.22,0,0,1,81.19
38.57,2.62,5.37,1,1,1,31.73
